Group,Sex,Age_Group,Data,Fit_Mode,Segment_Years,Segment_Start,Segment_End,N,Slope,Intercept,r
Black,Female,40-90,Training,linear,all,40.08,89.83333333,9493,-0.3845357471593385,24.048446436482173,-0.6544725433265826
Black,Female,40-90,Training,independent_segment,5,40.0,45.0,164,-0.05895388700256666,11.64500195613616,-0.012557418616836288
Black,Female,40-90,Training,independent_segment,5,45.0,50.0,387,-0.6470673178381497,38.11768882451557,-0.1691546680031949
Black,Female,40-90,Training,independent_segment,5,50.0,55.0,1451,-0.555125129983919,33.36379942177469,-0.19273593081946577
Black,Female,40-90,Training,independent_segment,5,55.0,60.0,1802,-0.39618698643544703,24.288874883403768,-0.16243262660824334
Black,Female,40-90,Training,independent_segment,5,60.0,65.0,1878,-0.36497294371693817,22.413077854226398,-0.14679819625861606
Black,Female,40-90,Training,independent_segment,5,65.0,70.0,1837,-0.31759351620604476,19.108360812157198,-0.12262564435150786
Black,Female,40-90,Training,independent_segment,5,70.0,75.0,1272,-0.2526518920701797,14.626050335081725,-0.08984574555618156
Black,Female,40-90,Training,independent_segment,5,75.0,80.0,496,-0.009037757375895078,-3.9260282965744517,-0.0031134265557892465
Black,Female,40-90,Training,independent_segment,5,80.0,85.0,151,0.17269089766597986,-19.195067942312065,0.05820338935992836
Black,Female,40-90,Training,independent_segment,5,85.0,90.0,55,-0.6920562037219388,54.12917939708506,-0.20541472613845488
Black,Female,40-90,Observed,linear,all,47.0,79.0,159,-0.4894581066669777,31.77061211867955,-0.6862212020771163
Black,Female,40-90,Observed,independent_segment,5,45.0,50.0,10,-3.9774353333423287,202.02504922774602,-0.8717179169242397
Black,Female,40-90,Observed,independent_segment,5,50.0,55.0,36,-0.7320700729930348,43.999089648394786,-0.24520239147699352
Black,Female,40-90,Observed,independent_segment,5,55.0,60.0,39,0.11369814485637499,-2.843281765193782,0.04006773438701285
Black,Female,40-90,Observed,independent_segment,5,60.0,65.0,40,-0.8604661001212955,54.99198416985019,-0.26997363708855726
Black,Female,40-90,Observed,independent_segment,5,65.0,70.0,18,0.22379477447068805,-15.937743750704922,0.09045264581698496
Black,Female,40-90,Observed,independent_segment,5,70.0,75.0,11,-0.8549169275762355,58.061044604017525,-0.35703679341358985
Black,Female,40-90,Observed,independent_segment,5,75.0,80.0,5,-0.19642050180178725,7.872716800253292,-0.07582777492008637
Black,Male,40-90,Training,linear,all,40.08,90.0,7788,-0.36475042810041053,22.758143917659865,-0.6375979476861666
Black,Male,40-90,Training,independent_segment,5,40.0,45.0,158,-1.030784807191128,51.81224403002111,-0.23703683312348167
Black,Male,40-90,Training,independent_segment,5,45.0,50.0,413,0.28080861979299954,-7.761328473298473,0.08195782317915946
Black,Male,40-90,Training,independent_segment,5,50.0,55.0,1222,-0.5218958209827078,31.255714801581277,-0.1800118961217121
Black,Male,40-90,Training,independent_segment,5,55.0,60.0,1312,-0.4563079010416983,27.839383399560347,-0.16989772649350834
Black,Male,40-90,Training,independent_segment,5,60.0,65.0,1450,-0.3801633579024638,23.400850856355106,-0.13747754765824258
Black,Male,40-90,Training,independent_segment,5,65.0,70.0,1421,-0.3458594252172087,21.182337187959103,-0.12558833025829866
Black,Male,40-90,Training,independent_segment,5,70.0,75.0,1137,-0.2708123529367388,16.014116568707397,-0.09181591603061112
Black,Male,40-90,Training,independent_segment,5,75.0,80.0,489,-0.204829144113932,10.950385327150073,-0.07210159748199903
Black,Male,40-90,Training,independent_segment,5,80.0,85.0,146,-0.39307558156015054,26.83254112429386,-0.14345698346594773
Black,Male,40-90,Training,independent_segment,5,85.0,90.0,40,-0.2973287507523294,17.377660253804684,-0.10068280395927684
Black,Male,40-90,Observed,linear,all,47.0,76.0,125,-0.4839503875212062,32.47990634421283,-0.6658864756060958
Black,Male,40-90,Observed,independent_segment,5,45.0,50.0,9,1.1006996881331248,-44.09357084785058,0.28931855911527815
Black,Male,40-90,Observed,independent_segment,5,50.0,55.0,33,-0.9234862661158769,55.183059560550234,-0.29413559491131824
Black,Male,40-90,Observed,independent_segment,5,55.0,60.0,33,-0.4284393358995847,29.020655760837737,-0.14684713893045898
Black,Male,40-90,Observed,independent_segment,5,60.0,65.0,19,-0.9200889014227136,60.459357243569684,-0.2831449147602128
Black,Male,40-90,Observed,independent_segment,5,65.0,70.0,18,-0.9149496157221078,62.067647563155,-0.33759462644865806
Black,Male,40-90,Observed,independent_segment,5,70.0,75.0,8,-1.2700286059518202,88.33265005357839,-0.3857349973134867
Black,Male,40-90,Observed,independent_segment,5,75.0,80.0,5,1.379503404824566,-109.76966602001353,0.26025733244280985
Black,Female,40-90,Training,linear,all,40.08,89.83333333,9493,-0.3845357471593385,24.048446436482173,-0.6544725433265826
Black,Female,40-90,Training,independent_segment,10,40.0,50.0,551,-0.3876964540656171,25.681644886313038,-0.2068587011668621
Black,Female,40-90,Training,independent_segment,10,50.0,60.0,3253,-0.5340977135772745,32.20189858209259,-0.3773640019776665
Black,Female,40-90,Training,independent_segment,10,60.0,70.0,3715,-0.379917263766337,23.308698301546077,-0.290178041309407
Black,Female,40-90,Training,independent_segment,10,70.0,80.0,1768,-0.21121389812050867,11.637898206812102,-0.14000628807022844
Black,Female,40-90,Training,independent_segment,10,80.0,90.0,206,-0.12281859036874318,4.909334026375591,-0.07142052068914082
Black,Female,40-90,Observed,linear,all,47.0,79.0,159,-0.4894581066669777,31.77061211867955,-0.6862212020771163
Black,Female,40-90,Observed,independent_segment,10,40.0,50.0,10,-3.9774353333423287,202.02504922774602,-0.8717179169242397
Black,Female,40-90,Observed,independent_segment,10,50.0,60.0,75,-0.3880775171873345,25.97332828478489,-0.2864826472351248
Black,Female,40-90,Observed,independent_segment,10,60.0,70.0,58,-0.4924941076691745,32.22032491985437,-0.33679288120314643
Black,Female,40-90,Observed,independent_segment,10,70.0,80.0,16,-0.7363061516053455,49.59409560339843,-0.5599977675274375
Black,Male,40-90,Training,linear,all,40.08,90.0,7788,-0.36475042810041053,22.758143917659865,-0.6375979476861666
