Group,Sex,Age_Group,Data,Fit_Mode,Segment_Years,Segment_Start,Segment_End,N,Slope,Intercept,r
Chinese,Female,5-40,Training,linear,all,5.0,40.0,8505,0.11472669104643955,-2.089853337565095,0.4633847830866111
Chinese,Female,5-40,Observed,continuous_piecewise,5,15.0,20.0,138,-0.09889947720691158,4.003261455490546,0.08953026038018992
Chinese,Female,5-40,Observed,continuous_piecewise,5,20.0,25.0,332,0.14425113789450125,-0.859750846537711,0.08953026038018992
Chinese,Female,5-40,Observed,continuous_piecewise,5,25.0,30.0,45,-0.3956220186647944,12.63707806744468,0.08953026038018992
Chinese,Female,5-40,Observed,continuous_piecewise,5,30.0,35.0,18,0.37266520948067305,-10.411538776919343,0.08953026038018992
Chinese,Female,5-40,Observed,continuous_piecewise,5,35.0,40.0,14,-0.4758037947083802,19.28487636969752,0.08953026038018992
Chinese,Female,40-90,Training,linear,all,40.0,90.0,9493,0.08864654055859433,-5.492756493319825,0.1956890640963319
Chinese,Female,40-90,Observed,continuous_piecewise,5,40.0,45.0,12,-0.49564029369374996,23.324019184884722,0.180728260922869
Chinese,Female,40-90,Observed,continuous_piecewise,5,45.0,50.0,42,0.6505690954227711,-28.255403325358724,0.180728260922869
Chinese,Female,40-90,Observed,continuous_piecewise,5,50.0,55.0,43,-0.39557728872977804,24.051915882268734,0.180728260922869
Chinese,Female,40-90,Observed,continuous_piecewise,5,55.0,60.0,79,-0.007615771002717708,2.714032407280417,0.180728260922869
Chinese,Female,40-90,Observed,continuous_piecewise,5,60.0,65.0,76,0.17125307297839965,-8.018098231586624,0.180728260922869
Chinese,Female,40-90,Observed,continuous_piecewise,5,65.0,70.0,34,-0.1466717662076235,12.647016315504882,0.180728260922869
Chinese,Female,40-90,Observed,continuous_piecewise,5,70.0,75.0,26,-0.45255713433653005,34.05899208452834,0.180728260922869
Chinese,Female,40-90,Observed,continuous_piecewise,5,75.0,80.0,12,0.5371388524512791,-40.16820692455734,0.180728260922869
Chinese,Male,5-40,Training,linear,all,5.0,40.0,7541,0.12368945758482995,-2.1810774204670684,0.49912671196921904
Chinese,Male,5-40,Observed,continuous_piecewise,5,15.0,20.0,75,-0.5290468231934051,10.982941769307262,0.2635444619088897
Chinese,Male,5-40,Observed,continuous_piecewise,5,20.0,25.0,258,0.15999227832841,-2.797840261129041,0.2635444619088897
Chinese,Male,5-40,Observed,continuous_piecewise,5,25.0,30.0,55,-0.568726387124201,15.420126375186234,0.2635444619088897
Chinese,Male,5-40,Observed,continuous_piecewise,5,30.0,35.0,19,-0.09674050045298571,1.2605497750497765,0.2635444619088897
Chinese,Male,5-40,Observed,continuous_piecewise,5,35.0,40.0,11,-1.2755668448380308,42.51947182852635,0.2635444619088897
Chinese,Male,40-90,Training,linear,all,40.0,90.0,7788,0.0896553095235538,-5.586545402388919,0.19935274661197083
Chinese,Male,40-90,Observed,continuous_piecewise,5,40.0,45.0,9,1.5731524028744392,-62.97219420970707,0.2874143818277705
Chinese,Male,40-90,Observed,continuous_piecewise,5,45.0,50.0,10,-1.150694610317936,59.600921383949824,0.2874143818277705
Chinese,Male,40-90,Observed,continuous_piecewise,5,50.0,55.0,28,0.3723106830087939,-16.549343282386673,0.2874143818277705
Chinese,Male,40-90,Observed,continuous_piecewise,5,55.0,60.0,37,-0.4114471010753087,26.557334842238973,0.2874143818277705
Chinese,Male,40-90,Observed,continuous_piecewise,5,60.0,65.0,54,-0.060657240465443296,5.509943205647048,0.2874143818277705
Chinese,Male,40-90,Observed,continuous_piecewise,5,65.0,70.0,30,-0.11842685211301718,9.264967962739348,0.2874143818277705
Chinese,Male,40-90,Observed,continuous_piecewise,5,70.0,75.0,14,0.01808138542569626,-0.29060866497059124,0.2874143818277705
Chinese,Male,40-90,Observed,continuous_piecewise,5,75.0,80.0,11,-0.559676104584873,43.04120308582209,0.2874143818277705
Chinese,Male,40-90,Observed,continuous_piecewise,5,80.0,85.0,1,-0.559676104584873,43.04120308582209,0.2874143818277705
Chinese,Female,5-40,Training,linear,all,5.0,40.0,8505,0.11472669104643955,-2.089853337565095,0.4633847830866111
Chinese,Female,5-40,Observed,continuous_piecewise,10,15.0,25.0,470,0.06785759525230427,0.7795774571128873,0.06095727356662335
Chinese,Female,5-40,Observed,continuous_piecewise,10,25.0,35.0,63,-0.05481417166872665,3.8463716301386603,0.06095727356662335
Chinese,Female,5-40,Observed,continuous_piecewise,10,35.0,40.0,14,-0.25184581597215683,10.742479180758716,0.06095727356662335
Chinese,Female,40-90,Training,linear,all,40.0,90.0,9493,0.08864654055859433,-5.492756493319825,0.1956890640963319
Chinese,Female,40-90,Observed,continuous_piecewise,10,40.0,50.0,54,0.2616496826655146,-9.664163091574984,0.14212288149533012
Chinese,Female,40-90,Observed,continuous_piecewise,10,50.0,60.0,122,-0.11712557022538816,9.274599552970152,0.14212288149533012
Chinese,Female,40-90,Observed,continuous_piecewise,10,60.0,70.0,110,0.050691860595182214,-0.7944462962640717,0.14212288149533012
Chinese,Female,40-90,Observed,continuous_piecewise,10,70.0,80.0,38,-0.42088007626525104,32.21558928396626,0.14212288149533012
Chinese,Male,5-40,Training,linear,all,5.0,40.0,7541,0.12368945758482995,-2.1810774204670684,0.49912671196921904
Chinese,Male,5-40,Observed,continuous_piecewise,10,15.0,25.0,333,0.02710179031248805,0.14205053740914547,0.2511687159160618
Chinese,Male,5-40,Observed,continuous_piecewise,10,25.0,35.0,74,-0.34309755271769454,9.397034113163711,0.2511687159160618
Chinese,Male,5-40,Observed,continuous_piecewise,10,35.0,40.0,11,-1.1135626811210604,36.36331360728151,0.2511687159160618
Chinese,Male,40-90,Training,linear,all,40.0,90.0,7788,0.0896553095235538,-5.586545402388919,0.19935274661197083
Chinese,Male,40-90,Observed,continuous_piecewise,10,40.0,50.0,19,-0.04040469460029212,5.85841922271263,0.24283047838550678
Chinese,Male,40-90,Observed,continuous_piecewise,10,50.0,60.0,65,-0.17266075555129093,12.47122227026257,0.24283047838550678
Chinese,Male,40-90,Observed,continuous_piecewise,10,60.0,70.0,84,-0.10119096469852093,8.18303481909637,0.24283047838550678
Chinese,Male,40-90,Observed,continuous_piecewise,10,70.0,80.0,25,-0.14516542945441535,11.26124735200898,0.24283047838550678
Chinese,Male,40-90,Observed,continuous_piecewise,10,80.0,90.0,1,-0.14516542945441535,11.26124735200898,0.24283047838550678
