Group,Sex,Age_Group,Data,Fit_Mode,Segment_Years,Segment_Start,Segment_End,N,Slope,Intercept,r
Chinese,Female,5-40,Training,linear,all,5.096851,40.0,8505,-0.11897545995372472,1.990837169450789,-0.47670024280999745
Chinese,Female,5-40,Training,independent_segment,5,5.0,10.0,1524,-0.16188087602152743,1.8858152230377883,-0.11889774346578727
Chinese,Female,5-40,Training,independent_segment,5,10.0,15.0,2207,0.03207662558286896,-0.1516059327084369,0.060227702294540574
Chinese,Female,5-40,Training,independent_segment,5,15.0,20.0,1038,-0.012723400969591903,0.7645320880704963,-0.014664098997156929
Chinese,Female,5-40,Training,independent_segment,5,20.0,25.0,2125,-0.14734171314218683,3.2226293002234714,-0.15549245793645713
Chinese,Female,5-40,Training,independent_segment,5,25.0,30.0,928,-0.1158789623617856,2.2544317662929334,-0.08632391024754112
Chinese,Female,5-40,Training,independent_segment,5,30.0,35.0,455,-0.3692907276098284,9.645973406294628,-0.20221319299486948
Chinese,Female,5-40,Training,independent_segment,5,35.0,40.0,228,-1.1866903145416166,37.72195481413718,-0.508677225806079
Chinese,Female,5-40,Observed,linear,all,17.0,39.0,547,-0.7001906745128855,16.167006637150994,-0.6628313459510954
Chinese,Female,5-40,Observed,independent_segment,5,15.0,20.0,138,-0.011428190465489407,2.8494664105811145,-0.0014756356545024246
Chinese,Female,5-40,Observed,independent_segment,5,20.0,25.0,332,-0.27487898313394227,7.3400847740283295,-0.12805200272570838
Chinese,Female,5-40,Observed,independent_segment,5,25.0,30.0,45,-0.2898315528128051,6.116599822458877,-0.08206913483192826
Chinese,Female,5-40,Observed,independent_segment,5,30.0,35.0,18,-0.1950844920802564,-0.9173311813342835,-0.09041136572944042
Chinese,Female,5-40,Observed,independent_segment,5,35.0,40.0,14,-1.4575435059653439,42.2398146361087,-0.7834436763949493
Chinese,Female,40-90,Training,linear,all,40.08,89.83333333,9493,-0.3845357471593385,24.048446436482173,-0.6544725433265826
Chinese,Female,40-90,Training,independent_segment,5,40.0,45.0,164,-0.05895388700256666,11.64500195613616,-0.012557418616836288
Chinese,Female,40-90,Training,independent_segment,5,45.0,50.0,387,-0.6470673178381497,38.11768882451557,-0.1691546680031949
Chinese,Female,40-90,Training,independent_segment,5,50.0,55.0,1451,-0.555125129983919,33.36379942177469,-0.19273593081946577
Chinese,Female,40-90,Training,independent_segment,5,55.0,60.0,1802,-0.39618698643544703,24.288874883403768,-0.16243262660824334
Chinese,Female,40-90,Training,independent_segment,5,60.0,65.0,1878,-0.36497294371693817,22.413077854226398,-0.14679819625861606
Chinese,Female,40-90,Training,independent_segment,5,65.0,70.0,1837,-0.31759351620604476,19.108360812157198,-0.12262564435150786
Chinese,Female,40-90,Training,independent_segment,5,70.0,75.0,1272,-0.2526518920701797,14.626050335081725,-0.08984574555618156
Chinese,Female,40-90,Training,independent_segment,5,75.0,80.0,496,-0.009037757375895078,-3.9260282965744517,-0.0031134265557892465
Chinese,Female,40-90,Training,independent_segment,5,80.0,85.0,151,0.17269089766597986,-19.195067942312065,0.05820338935992836
Chinese,Female,40-90,Training,independent_segment,5,85.0,90.0,55,-0.6920562037219388,54.12917939708506,-0.20541472613845488
Chinese,Female,40-90,Observed,linear,all,41.0,78.0,324,-0.5650564248700862,37.446249152894424,-0.7355999985208227
Chinese,Female,40-90,Observed,independent_segment,5,40.0,45.0,12,-1.4061830830403055,74.00449913459309,-0.41902110668787373
Chinese,Female,40-90,Observed,independent_segment,5,45.0,50.0,42,-0.03848122884787082,12.831126135805388,-0.015119241982824334
Chinese,Female,40-90,Observed,independent_segment,5,50.0,55.0,43,-1.4045034894756145,81.49322518328387,-0.39696332344995866
Chinese,Female,40-90,Observed,independent_segment,5,55.0,60.0,79,-0.9557835743909896,59.108349888884675,-0.31138375157830367
Chinese,Female,40-90,Observed,independent_segment,5,60.0,65.0,76,-0.1804524673348597,13.794538016316915,-0.0513389332671381
Chinese,Female,40-90,Observed,independent_segment,5,65.0,70.0,34,-0.528500267242807,35.180914129987464,-0.18806181586846363
Chinese,Female,40-90,Observed,independent_segment,5,70.0,75.0,26,-1.3123536411503958,91.47521820521676,-0.43100833466027716
Chinese,Female,40-90,Observed,independent_segment,5,75.0,80.0,12,-0.14329202339227437,6.367983883448699,-0.04429817669316891
Chinese,Male,5-40,Training,linear,all,5.016997,40.0,7541,-0.12116577593919742,1.9628249441094614,-0.49142152883042595
Chinese,Male,5-40,Training,independent_segment,5,5.0,10.0,1345,-0.20344244585176036,2.316586023089285,-0.174817846109414
Chinese,Male,5-40,Training,independent_segment,5,10.0,15.0,2408,0.013857335169980986,0.036843129308840455,0.02444559095061234
Chinese,Male,5-40,Training,independent_segment,5,15.0,20.0,918,0.04836584463547176,-0.4426681941085571,0.05811947187292205
Chinese,Male,5-40,Training,independent_segment,5,20.0,25.0,1466,-0.11741097480453438,2.6426440439809418,-0.12053139449842236
Chinese,Male,5-40,Training,independent_segment,5,25.0,30.0,748,-0.14826335591745077,3.177328148737315,-0.11879103566111902
Chinese,Male,5-40,Training,independent_segment,5,30.0,35.0,438,-0.5151059998589567,14.084944150767639,-0.2597119076067294
Chinese,Male,5-40,Training,independent_segment,5,35.0,40.0,218,-1.013895115426924,31.89847323079066,-0.4198570762913709
Chinese,Male,5-40,Observed,linear,all,17.0,39.0,418,-0.6381752118169352,14.265729049167534,-0.5768495655554698
Chinese,Male,5-40,Observed,independent_segment,5,15.0,20.0,75,-0.7698499840722607,16.230480165449812,-0.08447411736960961
Chinese,Male,5-40,Observed,independent_segment,5,20.0,25.0,258,-0.2698103493827595,6.414686614885504,-0.10530439389450416
Chinese,Male,5-40,Observed,independent_segment,5,25.0,30.0,55,-1.3285345139724047,33.97268770172358,-0.4004833043567829
Chinese,Male,5-40,Observed,independent_segment,5,30.0,35.0,19,-0.3108722943089508,3.6146071839009233,-0.14797011705829075
Chinese,Male,5-40,Observed,independent_segment,5,35.0,40.0,11,-1.7199503033996497,49.68628131555257,-0.6067972186243783
Chinese,Male,40-90,Training,linear,all,40.08,90.0,7788,-0.36475042810041053,22.758143917659865,-0.6375979476861666
Chinese,Male,40-90,Training,independent_segment,5,40.0,45.0,158,-1.030784807191128,51.81224403002111,-0.23703683312348167
Chinese,Male,40-90,Training,independent_segment,5,45.0,50.0,413,0.28080861979299954,-7.761328473298473,0.08195782317915946
Chinese,Male,40-90,Training,independent_segment,5,50.0,55.0,1222,-0.5218958209827078,31.255714801581277,-0.1800118961217121
Chinese,Male,40-90,Training,independent_segment,5,55.0,60.0,1312,-0.4563079010416983,27.839383399560347,-0.16989772649350834
Chinese,Male,40-90,Training,independent_segment,5,60.0,65.0,1450,-0.3801633579024638,23.400850856355106,-0.13747754765824258
Chinese,Male,40-90,Training,independent_segment,5,65.0,70.0,1421,-0.3458594252172087,21.182337187959103,-0.12558833025829866
Chinese,Male,40-90,Training,independent_segment,5,70.0,75.0,1137,-0.2708123529367388,16.014116568707397,-0.09181591603061112
Chinese,Male,40-90,Training,independent_segment,5,75.0,80.0,489,-0.204829144113932,10.950385327150073,-0.07210159748199903
Chinese,Male,40-90,Training,independent_segment,5,80.0,85.0,146,-0.39307558156015054,26.83254112429386,-0.14345698346594773
Chinese,Male,40-90,Training,independent_segment,5,85.0,90.0,40,-0.2973287507523294,17.377660253804684,-0.10068280395927684
Chinese,Male,40-90,Observed,linear,all,41.0,80.0,194,-0.5974777311771717,39.15593636973913,-0.7594233003759817
Chinese,Male,40-90,Observed,independent_segment,5,40.0,45.0,9,1.1650354622638852,-35.32505134276177,0.4268578761059852
Chinese,Male,40-90,Observed,independent_segment,5,45.0,50.0,10,-1.586358333237598,87.31645828381801,-0.2923281907465571
Chinese,Male,40-90,Observed,independent_segment,5,50.0,55.0,28,-0.0651586893590456,11.117319178085234,-0.02422808572420696
Chinese,Male,40-90,Observed,independent_segment,5,55.0,60.0,37,-0.8585148214772623,54.17885320034347,-0.24823179594862865
Chinese,Male,40-90,Observed,independent_segment,5,60.0,65.0,54,-1.1033789192945498,69.58725874391183,-0.34833637100891335
Chinese,Male,40-90,Observed,independent_segment,5,65.0,70.0,30,-1.0512606882991566,69.94355558524018,-0.31977782879234296
Chinese,Male,40-90,Observed,independent_segment,5,70.0,75.0,14,-0.6056699894211249,40.00737274108416,-0.255132550954836
Chinese,Male,40-90,Observed,independent_segment,5,75.0,80.0,11,-0.12197348692830332,4.408110556115163,-0.05818161093278626
Chinese,Male,40-90,Observed,independent_segment,5,80.0,85.0,1,,,
Chinese,Female,5-40,Training,linear,all,5.096851,40.0,8505,-0.11897545995372472,1.990837169450789,-0.47670024280999745
Chinese,Female,5-40,Training,independent_segment,10,5.0,15.0,3731,-0.01504818503963301,0.47272196292540625,-0.034641410381515116
Chinese,Female,5-40,Training,independent_segment,10,15.0,25.0,3163,-0.12407410001902673,2.7304429490893383,-0.22172142227758307
Chinese,Female,5-40,Training,independent_segment,10,25.0,35.0,1383,-0.23752076034130634,5.490236109946775,-0.29786245743480694
Chinese,Female,5-40,Training,independent_segment,10,35.0,40.0,228,-1.1866903145416166,37.72195481413718,-0.508677225806079
Chinese,Female,5-40,Observed,linear,all,17.0,39.0,547,-0.7001906745128855,16.167006637150994,-0.6628313459510954
Chinese,Female,5-40,Observed,independent_segment,10,15.0,25.0,470,-0.3594638569641848,9.209458784709907,-0.18751308436425954
Chinese,Female,5-40,Observed,independent_segment,10,25.0,35.0,63,-0.798506986941628,19.19525616112227,-0.6153218653401535
Chinese,Female,5-40,Observed,independent_segment,10,35.0,40.0,14,-1.4575435059653439,42.2398146361087,-0.7834436763949493
Chinese,Female,40-90,Training,linear,all,40.08,89.83333333,9493,-0.3845357471593385,24.048446436482173,-0.6544725433265826
Chinese,Female,40-90,Training,independent_segment,10,40.0,50.0,551,-0.3876964540656171,25.681644886313038,-0.2068587011668621
Chinese,Female,40-90,Training,independent_segment,10,50.0,60.0,3253,-0.5340977135772745,32.20189858209259,-0.3773640019776665
