Group,Sex,Age_Group,Data,Fit_Mode,Segment_Years,Segment_Start,Segment_End,N,Slope,Intercept,r
Japanese,Female,5-40,Training,linear,all,5.096851,40.0,8505,-0.11897545995372472,1.990837169450789,-0.47670024280999745
Japanese,Female,5-40,Training,independent_segment,5,5.0,10.0,1524,-0.16188087602152743,1.8858152230377883,-0.11889774346578727
Japanese,Female,5-40,Training,independent_segment,5,10.0,15.0,2207,0.03207662558286896,-0.1516059327084369,0.060227702294540574
Japanese,Female,5-40,Training,independent_segment,5,15.0,20.0,1038,-0.012723400969591903,0.7645320880704963,-0.014664098997156929
Japanese,Female,5-40,Training,independent_segment,5,20.0,25.0,2125,-0.14734171314218683,3.2226293002234714,-0.15549245793645713
Japanese,Female,5-40,Training,independent_segment,5,25.0,30.0,928,-0.1158789623617856,2.2544317662929334,-0.08632391024754112
Japanese,Female,5-40,Training,independent_segment,5,30.0,35.0,455,-0.3692907276098284,9.645973406294628,-0.20221319299486948
Japanese,Female,5-40,Training,independent_segment,5,35.0,40.0,228,-1.1866903145416166,37.72195481413718,-0.508677225806079
Japanese,Female,5-40,Observed,linear,all,18.0,40.0,216,-0.750515331165593,16.306533713109108,-0.8741526532410974
Japanese,Female,5-40,Observed,independent_segment,5,15.0,20.0,7,0.26214828690266556,-4.87934434521128,0.04809062432212436
Japanese,Female,5-40,Observed,independent_segment,5,20.0,25.0,101,-0.5774685247560454,12.601240623026644,-0.27151482027035384
Japanese,Female,5-40,Observed,independent_segment,5,25.0,30.0,25,-0.8952208163096699,20.630341159388884,-0.4958712005543552
Japanese,Female,5-40,Observed,independent_segment,5,30.0,35.0,44,-0.539452790363821,10.098292459068942,-0.22415003999175734
Japanese,Female,5-40,Observed,independent_segment,5,35.0,40.0,39,-1.2140679349065238,33.169312169955624,-0.68738319120754
Japanese,Female,40-90,Training,linear,all,40.08,89.83333333,9493,-0.3845357471593385,24.048446436482173,-0.6544725433265826
Japanese,Female,40-90,Training,independent_segment,5,40.0,45.0,164,-0.05895388700256666,11.64500195613616,-0.012557418616836288
Japanese,Female,40-90,Training,independent_segment,5,45.0,50.0,387,-0.6470673178381497,38.11768882451557,-0.1691546680031949
Japanese,Female,40-90,Training,independent_segment,5,50.0,55.0,1451,-0.555125129983919,33.36379942177469,-0.19273593081946577
Japanese,Female,40-90,Training,independent_segment,5,55.0,60.0,1802,-0.39618698643544703,24.288874883403768,-0.16243262660824334
Japanese,Female,40-90,Training,independent_segment,5,60.0,65.0,1878,-0.36497294371693817,22.413077854226398,-0.14679819625861606
Japanese,Female,40-90,Training,independent_segment,5,65.0,70.0,1837,-0.31759351620604476,19.108360812157198,-0.12262564435150786
Japanese,Female,40-90,Training,independent_segment,5,70.0,75.0,1272,-0.2526518920701797,14.626050335081725,-0.08984574555618156
Japanese,Female,40-90,Training,independent_segment,5,75.0,80.0,496,-0.009037757375895078,-3.9260282965744517,-0.0031134265557892465
Japanese,Female,40-90,Training,independent_segment,5,80.0,85.0,151,0.17269089766597986,-19.195067942312065,0.05820338935992836
Japanese,Female,40-90,Training,independent_segment,5,85.0,90.0,55,-0.6920562037219388,54.12917939708506,-0.20541472613845488
Japanese,Female,40-90,Observed,linear,all,41.0,79.0,187,-0.6888843170379446,45.234963149957764,-0.8483060206735358
Japanese,Female,40-90,Observed,independent_segment,5,40.0,45.0,40,-0.9066815865334584,54.48987810129721,-0.2276826421297774
Japanese,Female,40-90,Observed,independent_segment,5,45.0,50.0,49,-0.7242781881388156,46.92017105102748,-0.2141874146978813
Japanese,Female,40-90,Observed,independent_segment,5,50.0,55.0,29,-1.0896703879047744,66.27454799895196,-0.3815185287552904
Japanese,Female,40-90,Observed,independent_segment,5,55.0,60.0,17,-1.201085752754559,73.26429077661639,-0.37514894132376636
Japanese,Female,40-90,Observed,independent_segment,5,60.0,65.0,20,0.3469099223575349,-17.84002679281522,0.15245529903459423
Japanese,Female,40-90,Observed,independent_segment,5,65.0,70.0,18,-1.733077823500121,116.0573581729847,-0.44788431744903506
Japanese,Female,40-90,Observed,independent_segment,5,70.0,75.0,11,-2.1029169083204358,146.34984716874698,-0.46306494329833603
Japanese,Female,40-90,Observed,independent_segment,5,75.0,80.0,3,0.19917391713769372,-25.776443093506007,0.05526629722850464
Japanese,Male,5-40,Training,linear,all,5.016997,40.0,7541,-0.12116577593919742,1.9628249441094614,-0.49142152883042595
Japanese,Male,5-40,Training,independent_segment,5,5.0,10.0,1345,-0.20344244585176036,2.316586023089285,-0.174817846109414
Japanese,Male,5-40,Training,independent_segment,5,10.0,15.0,2408,0.013857335169980986,0.036843129308840455,0.02444559095061234
Japanese,Male,5-40,Training,independent_segment,5,15.0,20.0,918,0.04836584463547176,-0.4426681941085571,0.05811947187292205
Japanese,Male,5-40,Training,independent_segment,5,20.0,25.0,1466,-0.11741097480453438,2.6426440439809418,-0.12053139449842236
Japanese,Male,5-40,Training,independent_segment,5,25.0,30.0,748,-0.14826335591745077,3.177328148737315,-0.11879103566111902
Japanese,Male,5-40,Training,independent_segment,5,30.0,35.0,438,-0.5151059998589567,14.084944150767639,-0.2597119076067294
Japanese,Male,5-40,Training,independent_segment,5,35.0,40.0,218,-1.013895115426924,31.89847323079066,-0.4198570762913709
