Group,Sex,Age_Group,Data,Fit_Mode,Segment_Years,Segment_Start,Segment_End,N,Slope,Intercept,r
Mexican,Female,5-40,Training,linear,all,5.096851,40.0,8505,-0.11897545995372472,1.990837169450789,-0.47670024280999745
Mexican,Female,5-40,Training,continuous_piecewise,5,5.0,10.0,1524,-0.2150764265794914,2.3496988115199553,0.6556170414011476
Mexican,Female,5-40,Training,continuous_piecewise,5,10.0,15.0,2207,0.039873115478792465,-0.19979660906288332,0.6556170414011476
Mexican,Female,5-40,Training,continuous_piecewise,5,15.0,20.0,1038,-0.0004881765634002777,0.40562277157000803,0.6556170414011476
Mexican,Female,5-40,Training,continuous_piecewise,5,20.0,25.0,2125,-0.1970438201150251,4.3367356426025045,0.6556170414011476
Mexican,Female,5-40,Training,continuous_piecewise,5,25.0,30.0,928,-0.14075124753700907,2.9294213281521033,0.6556170414011476
Mexican,Female,5-40,Training,continuous_piecewise,5,30.0,35.0,455,-0.46008051462138017,12.509299340683237,0.6556170414011476
Mexican,Female,5-40,Training,continuous_piecewise,5,35.0,40.0,228,-1.2514496423532757,40.20721881129958,0.6556170414011476
Mexican,Female,5-40,Observed,linear,all,17.0,40.0,106,-0.6078742278038037,12.563194339324081,-0.707864108494719
Mexican,Female,5-40,Observed,continuous_piecewise,5,15.0,20.0,10,-0.36967238944813846,8.03782752297081,0.7201205785274044
Mexican,Female,5-40,Observed,continuous_piecewise,5,20.0,25.0,52,-0.6202370801528989,13.049121337066019,0.7201205785274044
Mexican,Female,5-40,Observed,continuous_piecewise,5,25.0,30.0,24,-0.9982058635939277,22.49834092309174,0.7201205785274044
Mexican,Female,5-40,Observed,continuous_piecewise,5,30.0,35.0,11,0.08822726371405104,-10.094652896147627,0.7201205785274044
Mexican,Female,5-40,Observed,continuous_piecewise,5,35.0,40.0,9,-0.9355882878415709,25.73889140829914,0.7201205785274044
Mexican,Female,40-90,Training,linear,all,40.08,89.83333333,9493,-0.3845357471593385,24.048446436482173,-0.6544725433265826
Mexican,Female,40-90,Training,continuous_piecewise,5,40.0,45.0,164,-0.05126163342024687,11.323046547578324,0.6691290638971006
Mexican,Female,40-90,Training,continuous_piecewise,5,45.0,50.0,387,-0.656998976571499,38.58122698938467,0.6691290638971006
Mexican,Female,40-90,Training,continuous_piecewise,5,50.0,55.0,1451,-0.6302148804140696,37.2420221815132,0.6691290638971006
Mexican,Female,40-90,Training,continuous_piecewise,5,55.0,60.0,1802,-0.4088914746229685,25.06923486300264,0.6691290638971006
Mexican,Female,40-90,Training,continuous_piecewise,5,60.0,65.0,1878,-0.40133931136664064,24.616105067622968,0.6691290638971006
Mexican,Female,40-90,Training,continuous_piecewise,5,65.0,70.0,1837,-0.3233611577615024,19.54752508328899,0.6691290638971006
Mexican,Female,40-90,Training,continuous_piecewise,5,70.0,75.0,1272,-0.26248750899248274,15.286369669457606,0.6691290638971006
Mexican,Female,40-90,Training,continuous_piecewise,5,75.0,80.0,496,-0.12342589740351675,4.8567488002851595,0.6691290638971006
Mexican,Female,40-90,Training,continuous_piecewise,5,80.0,85.0,151,0.05920943041993653,-9.754077425591108,0.6691290638971006
Mexican,Female,40-90,Training,continuous_piecewise,5,85.0,90.0,55,-0.682926921619555,53.32751249776566,0.6691290638971006
Mexican,Female,40-90,Observed,linear,all,41.0,70.0,31,-0.6097193139169468,43.756942048173585,-0.7578881666750559
Mexican,Female,40-90,Observed,continuous_piecewise,5,40.0,45.0,9,-0.9278225083284035,58.75427905039222,0.7990775968480175
Mexican,Female,40-90,Observed,continuous_piecewise,5,45.0,50.0,6,-1.2013358399915401,71.06237897523336,0.7990775968480175
Mexican,Female,40-90,Observed,continuous_piecewise,5,50.0,55.0,10,-0.17868059053952978,19.929616502632854,0.7990775968480175
Mexican,Female,40-90,Observed,continuous_piecewise,5,55.0,60.0,2,0.12531147835234524,3.210052713579735,0.7990775968480175
Mexican,Female,40-90,Observed,continuous_piecewise,5,60.0,65.0,1,-1.1269297299015753,78.34452520881496,0.7990775968480175
Mexican,Female,40-90,Observed,continuous_piecewise,5,65.0,70.0,1,-0.5610438038542053,41.561940015735914,0.7990775968480175
Mexican,Female,40-90,Observed,continuous_piecewise,5,70.0,75.0,2,-0.5610438038542053,41.561940015735914,0.7990775968480175
Mexican,Male,5-40,Training,linear,all,5.016997,40.0,7541,-0.12116577593919742,1.9628249441094614,-0.49142152883042595
Mexican,Male,5-40,Training,continuous_piecewise,5,5.0,10.0,1345,-0.2473569079962775,2.688472711955659,0.6518868539598823
Mexican,Male,5-40,Training,continuous_piecewise,5,10.0,15.0,2408,0.008851632694090089,0.12638730505198303,0.6518868539598823
Mexican,Male,5-40,Training,continuous_piecewise,5,15.0,20.0,918,0.030315528866711433,-0.19557113753733724,0.6518868539598823
Mexican,Male,5-40,Training,continuous_piecewise,5,20.0,25.0,1466,-0.16925208404531006,3.7957811207030927,0.6518868539598823
Mexican,Male,5-40,Training,continuous_piecewise,5,25.0,30.0,748,-0.18990702126046483,4.312154551081962,0.6518868539598823
Mexican,Male,5-40,Training,continuous_piecewise,5,30.0,35.0,438,-0.4773094673659678,12.934227934247051,0.6518868539598823
Mexican,Male,5-40,Training,continuous_piecewise,5,35.0,40.0,218,-0.9595761127980972,29.813560524371578,0.6518868539598823
Mexican,Male,5-40,Observed,linear,all,17.0,40.0,164,-0.6640280930276234,13.591277740019937,-0.7369312329248354
Mexican,Male,5-40,Observed,continuous_piecewise,5,15.0,20.0,16,-0.7135608380072137,15.0364632049401,0.7453838242887206
Mexican,Male,5-40,Observed,continuous_piecewise,5,20.0,25.0,52,-0.930977638282396,19.384799210443745,0.7453838242887206
Mexican,Male,5-40,Observed,continuous_piecewise,5,25.0,30.0,42,-0.22995305058402893,1.8591845179845699,0.7453838242887206
Mexican,Male,5-40,Observed,continuous_piecewise,5,30.0,35.0,27,-1.0901286223477333,27.664451670895705,0.7453838242887206
Mexican,Male,5-40,Observed,continuous_piecewise,5,35.0,40.0,27,-0.36672449020440767,2.345307045879302,0.7453838242887206
Mexican,Male,40-90,Training,linear,all,40.08,90.0,7788,-0.36475042810041053,22.758143917659865,-0.6375979476861666
Mexican,Male,40-90,Training,continuous_piecewise,5,40.0,45.0,158,-1.0174054026164034,51.25242697672113,0.6430197625709766
Mexican,Male,40-90,Training,continuous_piecewise,5,45.0,50.0,413,-0.024800937991253824,6.5852260685893995,0.6430197625709766
Mexican,Male,40-90,Training,continuous_piecewise,5,50.0,55.0,1222,-0.5488588967939089,32.78812400872215,0.6430197625709766
Mexican,Male,40-90,Training,continuous_piecewise,5,55.0,60.0,1312,-0.4039313060679601,24.81710651879497,0.6430197625709766
Mexican,Male,40-90,Training,continuous_piecewise,5,60.0,65.0,1450,-0.38003768193352594,23.38348907072892,0.6430197625709766
Mexican,Male,40-90,Training,continuous_piecewise,5,65.0,70.0,1421,-0.32571287937510485,19.85237690443155,0.6430197625709766
Mexican,Male,40-90,Training,continuous_piecewise,5,70.0,75.0,1137,-0.2931518921625553,17.573107799553085,0.6430197625709766
Mexican,Male,40-90,Training,continuous_piecewise,5,75.0,80.0,489,-0.12457643964982712,4.929948861098474,0.6430197625709766
Mexican,Male,40-90,Training,continuous_piecewise,5,80.0,85.0,146,-0.3657717563081737,24.2255741937662,0.6430197625709766
Mexican,Male,40-90,Training,continuous_piecewise,5,85.0,90.0,40,-0.6196733033132868,45.80720568920081,0.6430197625709766
Mexican,Male,40-90,Observed,linear,all,41.0,50.0,13,-1.4347109533327012,79.99907275352825,-0.7036406800771651
Mexican,Male,40-90,Observed,continuous_piecewise,5,40.0,45.0,7,-2.5116108249334075,125.92141913003626,0.7733377203449312
Mexican,Male,40-90,Observed,continuous_piecewise,5,45.0,50.0,5,-0.2889184973535279,25.90026438894168,0.7733377203449312
Mexican,Male,40-90,Observed,continuous_piecewise,5,50.0,55.0,1,-0.2889184973535279,25.90026438894168,0.7733377203449312
Mexican,Female,5-40,Training,linear,all,5.096851,40.0,8505,-0.11897545995372472,1.990837169450789,-0.47670024280999745
