Group,Sex,Age_Group,Data,Fit_Mode,Segment_Years,Segment_Start,Segment_End,N,Slope,Intercept,r
South Asian,Female,5-40,Training,linear,all,5.096851,40.0,8505,-0.11897545995372472,1.990837169450789,-0.47670024280999745
South Asian,Female,5-40,Training,independent_segment,5,5.0,10.0,1524,-0.16188087602152743,1.8858152230377883,-0.11889774346578727
South Asian,Female,5-40,Training,independent_segment,5,10.0,15.0,2207,0.03207662558286896,-0.1516059327084369,0.060227702294540574
South Asian,Female,5-40,Training,independent_segment,5,15.0,20.0,1038,-0.012723400969591903,0.7645320880704963,-0.014664098997156929
South Asian,Female,5-40,Training,independent_segment,5,20.0,25.0,2125,-0.14734171314218683,3.2226293002234714,-0.15549245793645713
South Asian,Female,5-40,Training,independent_segment,5,25.0,30.0,928,-0.1158789623617856,2.2544317662929334,-0.08632391024754112
South Asian,Female,5-40,Training,independent_segment,5,30.0,35.0,455,-0.3692907276098284,9.645973406294628,-0.20221319299486948
South Asian,Female,5-40,Training,independent_segment,5,35.0,40.0,228,-1.1866903145416166,37.72195481413718,-0.508677225806079
South Asian,Female,5-40,Observed,linear,all,20.0,39.0,16,-0.6871972506290674,15.830596485309353,-0.8764287086627591
South Asian,Female,5-40,Observed,independent_segment,5,20.0,25.0,5,0.9608566863104078,-18.386664609731483,0.3120540538592737
South Asian,Female,5-40,Observed,independent_segment,5,25.0,30.0,4,-0.13521737311019955,-0.15044501909298713,-0.06569441413627201
South Asian,Female,5-40,Observed,independent_segment,5,30.0,35.0,1,,,
South Asian,Female,5-40,Observed,independent_segment,5,35.0,40.0,6,0.17027319309503997,-15.486027665440178,0.09399207791467654
South Asian,Female,40-90,Training,linear,all,40.08,89.83333333,9493,-0.3845357471593385,24.048446436482173,-0.6544725433265826
South Asian,Female,40-90,Training,independent_segment,5,40.0,45.0,164,-0.05895388700256666,11.64500195613616,-0.012557418616836288
South Asian,Female,40-90,Training,independent_segment,5,45.0,50.0,387,-0.6470673178381497,38.11768882451557,-0.1691546680031949
South Asian,Female,40-90,Training,independent_segment,5,50.0,55.0,1451,-0.555125129983919,33.36379942177469,-0.19273593081946577
South Asian,Female,40-90,Training,independent_segment,5,55.0,60.0,1802,-0.39618698643544703,24.288874883403768,-0.16243262660824334
South Asian,Female,40-90,Training,independent_segment,5,60.0,65.0,1878,-0.36497294371693817,22.413077854226398,-0.14679819625861606
South Asian,Female,40-90,Training,independent_segment,5,65.0,70.0,1837,-0.31759351620604476,19.108360812157198,-0.12262564435150786
South Asian,Female,40-90,Training,independent_segment,5,70.0,75.0,1272,-0.2526518920701797,14.626050335081725,-0.08984574555618156
South Asian,Female,40-90,Training,independent_segment,5,75.0,80.0,496,-0.009037757375895078,-3.9260282965744517,-0.0031134265557892465
South Asian,Female,40-90,Training,independent_segment,5,80.0,85.0,151,0.17269089766597986,-19.195067942312065,0.05820338935992836
South Asian,Female,40-90,Training,independent_segment,5,85.0,90.0,55,-0.6920562037219388,54.12917939708506,-0.20541472613845488
South Asian,Female,40-90,Observed,linear,all,42.0,77.0,144,-0.6185433593269415,40.238142422237544,-0.7727886898356165
South Asian,Female,40-90,Observed,independent_segment,5,40.0,45.0,2,2.289127804566597,-79.34084053402997,1.0
South Asian,Female,40-90,Observed,independent_segment,5,45.0,50.0,9,-0.3542378980946355,29.532204276774667,-0.07806951030655229
South Asian,Female,40-90,Observed,independent_segment,5,50.0,55.0,32,-0.9987003884045798,60.19607721765164,-0.4162417684283442
South Asian,Female,40-90,Observed,independent_segment,5,55.0,60.0,31,0.3678350694013626,-17.290109036976496,0.16320398757103555
South Asian,Female,40-90,Observed,independent_segment,5,60.0,65.0,27,-0.25547781121682606,17.929491887234033,-0.10990347784704252
South Asian,Female,40-90,Observed,independent_segment,5,65.0,70.0,23,0.19185504550728488,-16.05061378620057,0.07125761021822911
South Asian,Female,40-90,Observed,independent_segment,5,70.0,75.0,16,-0.28963494027433784,18.221498439468306,-0.10025147738856897
South Asian,Female,40-90,Observed,independent_segment,5,75.0,80.0,4,-6.204903341965529,471.59122221906574,-0.7780692341861489
South Asian,Male,5-40,Training,linear,all,5.016997,40.0,7541,-0.12116577593919742,1.9628249441094614,-0.49142152883042595
South Asian,Male,5-40,Training,independent_segment,5,5.0,10.0,1345,-0.20344244585176036,2.316586023089285,-0.174817846109414
South Asian,Male,5-40,Training,independent_segment,5,10.0,15.0,2408,0.013857335169980986,0.036843129308840455,0.02444559095061234
South Asian,Male,5-40,Training,independent_segment,5,15.0,20.0,918,0.04836584463547176,-0.4426681941085571,0.05811947187292205
South Asian,Male,5-40,Training,independent_segment,5,20.0,25.0,1466,-0.11741097480453438,2.6426440439809418,-0.12053139449842236
South Asian,Male,5-40,Training,independent_segment,5,25.0,30.0,748,-0.14826335591745077,3.177328148737315,-0.11879103566111902
South Asian,Male,5-40,Training,independent_segment,5,30.0,35.0,438,-0.5151059998589567,14.084944150767639,-0.2597119076067294
South Asian,Male,5-40,Training,independent_segment,5,35.0,40.0,218,-1.013895115426924,31.89847323079066,-0.4198570762913709
South Asian,Male,5-40,Observed,linear,all,19.0,39.0,21,-0.47486455710994446,10.328117868809136,-0.549164417123936
South Asian,Male,5-40,Observed,independent_segment,5,15.0,20.0,1,,,
