Group,Sex,Age_Group,Metric,Bracket,N_Test,N_Ref,Test_Mean,Ref_Mean,Observed_Delta,Bootstrap_Mean_Delta,CI_95_Lower,CI_95_Upper,Contains_Zero,p_value,Plot_Path
Black,Female,40-90,BAG,40a,159,9493,1.363774017757769,0.014204262004634986,1.349569755753134,1.349605065031553,0.7661961254299006,1.9429198716347351,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Black/Black_Female_40-90_BAG_bootstrap_histogram.png
Black,Female,40-90,MAE,40a,159,9493,3.2013975221505104,3.083662273838618,0.11773524831189253,0.1173072434319,-0.2466784229135934,0.48969966494463446,True,0.5358,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Black/Black_Female_40-90_MAE_bootstrap_histogram.png
Black,Male,40-90,BAG,40a,125,7788,2.4413456086110297,-0.00856909801617877,2.4499147066272084,2.4444316955007745,1.726054608206039,3.14616987224778,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Black/Black_Male_40-90_BAG_bootstrap_histogram.png
Black,Male,40-90,MAE,40a,125,7788,3.8390515673404915,3.229780626449666,0.6092709408908257,0.609415987238862,0.11122328048513745,1.1139145923538367,False,0.0162,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Black/Black_Male_40-90_MAE_bootstrap_histogram.png
Chilean,Female,5-40,BAG,40bi,27,8505,3.44301259731997,-0.008381465306172826,3.4513940626261426,3.4534978285532403,2.392579805040271,4.585123985658205,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chilean/Chilean_Female_5-40_BAG_bootstrap_histogram.png
Chilean,Female,5-40,MAE,40bi,27,8505,3.5270129568919817,1.4480463025786008,2.0789666543133807,2.0898955535242,1.1051580790274655,3.1852228634949746,False,0.0004,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chilean/Chilean_Female_5-40_MAE_bootstrap_histogram.png
Chilean,Male,5-40,BAG,40bi,56,7541,2.0836188890031098,-0.003283886222118988,2.0869027752252287,2.0862543515143916,1.1642702752833323,3.007920145671059,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chilean/Chilean_Male_5-40_BAG_bootstrap_histogram.png
Chilean,Male,5-40,MAE,40bi,56,7541,3.3954650141112483,1.4961591848305265,1.899305829280722,1.896970025473571,1.3096974377658195,2.519557699482269,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chilean/Chilean_Male_5-40_MAE_bootstrap_histogram.png
Chinese,Female,40-90,BAG,40a,324,9493,2.4327738703834156,0.014204262004634986,2.4185696083787804,2.4197303661873972,1.9364725384661843,2.9068297924966235,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chinese/Chinese_Female_40-90_BAG_bootstrap_histogram.png
Chinese,Female,40-90,MAE,40a,324,9493,3.8917476565383984,3.083662273838618,0.8080853826997805,0.8067177548873354,0.4714753898110933,1.14927473822725,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chinese/Chinese_Female_40-90_MAE_bootstrap_histogram.png
Chinese,Female,5-40,BAG,40bi,547,8505,2.167043180506354,-0.008381465306172826,2.1754246458125266,2.1772338223275134,1.9202878842859172,2.4338729526346983,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chinese/Chinese_Female_5-40_BAG_bootstrap_histogram.png
Chinese,Female,5-40,MAE,40bi,547,8505,2.988168294188121,1.4480463025786008,1.5401219916095201,1.540069716622705,1.3547317581441765,1.7297647283901698,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chinese/Chinese_Female_5-40_MAE_bootstrap_histogram.png
Chinese,Male,40-90,BAG,40a,194,7788,2.200908610823356,-0.00856909801617877,2.2094777088395348,2.206576554603842,1.5871153871352475,2.8219915290727497,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chinese/Chinese_Male_40-90_BAG_bootstrap_histogram.png
Chinese,Male,40-90,MAE,40a,194,7788,3.7867289595906732,3.229780626449666,0.5569483331410074,0.5586355091054648,0.14203130677608333,1.0052801216487524,False,0.008,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chinese/Chinese_Male_40-90_MAE_bootstrap_histogram.png
Chinese,Male,5-40,BAG,40bi,418,7541,0.4370334934273646,-0.003283886222118988,0.4403173796494836,0.43570623532235203,0.09234867947784065,0.7852986434721486,False,0.0128,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chinese/Chinese_Male_5-40_BAG_bootstrap_histogram.png
Chinese,Male,5-40,MAE,40bi,418,7541,2.81899004980348,1.4961591848305265,1.3228308649729534,1.32346178542052,1.1131357547097604,1.5432634072734392,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Chinese/Chinese_Male_5-40_MAE_bootstrap_histogram.png
Japanese,Female,40-90,BAG,40a,187,9493,3.377495193717641,0.014204262004634986,3.363290931713006,3.358509077166233,2.7370806818050846,3.9892144229354587,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Female_40-90_BAG_bootstrap_histogram.png
Japanese,Female,40-90,MAE,40a,187,9493,4.5620768698629055,3.083662273838618,1.4784145960242876,1.477752397380567,1.036226058233495,1.9331194609079885,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Female_40-90_MAE_bootstrap_histogram.png
Japanese,Female,5-40,BAG,40bi,216,8505,-1.1770276397723825,-0.008381465306172826,-1.1686461744662096,-1.1686640248331095,-1.5750432550983082,-0.7562095061258663,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Female_5-40_BAG_bootstrap_histogram.png
