Iteration,Group,Sex,Age_Group,Permutation_Delta
1,Chinese,Female,40-90,0.2396073812919166
2,Chinese,Female,40-90,-0.17985743360589534
3,Chinese,Female,40-90,0.020105374902074757
4,Chinese,Female,40-90,-0.2719770831499395
5,Chinese,Female,40-90,0.051903265777068164
6,Chinese,Female,40-90,-0.485091530774723
7,Chinese,Female,40-90,-0.027215413983518122
8,Chinese,Female,40-90,-0.05551294479165003
9,Chinese,Female,40-90,0.04813561240668518
10,Chinese,Female,40-90,-0.14331144911253757
11,Chinese,Female,40-90,0.14895757854054859
12,Chinese,Female,40-90,-0.23927260892093383
13,Chinese,Female,40-90,-0.12297755821454848
14,Chinese,Female,40-90,-0.04350330886953557
15,Chinese,Female,40-90,-0.06071442381563186
16,Chinese,Female,40-90,-0.05078211977070035
17,Chinese,Female,40-90,-0.07103442661404014
18,Chinese,Female,40-90,0.18028933557465265
19,Chinese,Female,40-90,0.04058118293087887
20,Chinese,Female,40-90,0.03319888113405556
21,Chinese,Female,40-90,-0.016076574296156387
22,Chinese,Female,40-90,-0.2871021065401309
23,Chinese,Female,40-90,-0.06913903690920886
24,Chinese,Female,40-90,0.26343398159431386
25,Chinese,Female,40-90,-0.03489135398194643
26,Chinese,Female,40-90,0.10700249072642043
27,Chinese,Female,40-90,0.11245953888031002
28,Chinese,Female,40-90,-0.04004354021300216
29,Chinese,Female,40-90,-0.10948546512403956
30,Chinese,Female,40-90,0.04264804550333201
31,Chinese,Female,40-90,-0.19306628968100314
32,Chinese,Female,40-90,0.20399027787322233
33,Chinese,Female,40-90,-0.09226117668534828
34,Chinese,Female,40-90,0.10520935088695937
35,Chinese,Female,40-90,0.029937597993572762
36,Chinese,Female,40-90,0.06830525576995417
37,Chinese,Female,40-90,-0.0662179458258998
38,Chinese,Female,40-90,-0.040060936858485
39,Chinese,Female,40-90,-0.13176498185670305
40,Chinese,Female,40-90,-0.19248367117848986
41,Chinese,Female,40-90,0.018453988969631574
42,Chinese,Female,40-90,0.16662741666430136
43,Chinese,Female,40-90,0.062321413883400734
44,Chinese,Female,40-90,0.2527787611337451
45,Chinese,Female,40-90,0.32734116021624526
46,Chinese,Female,40-90,-0.11091715843417171
47,Chinese,Female,40-90,0.2907979202812454
48,Chinese,Female,40-90,0.05582514510992942
49,Chinese,Female,40-90,0.19194695712206045
50,Chinese,Female,40-90,-0.13945344006646287
51,Chinese,Female,40-90,-0.04510501930489896
52,Chinese,Female,40-90,0.1309663292355805
53,Chinese,Female,40-90,0.01847726737566635
54,Chinese,Female,40-90,0.06792991683924754
55,Chinese,Female,40-90,0.12491061770001322
56,Chinese,Female,40-90,0.12968305833603289
57,Chinese,Female,40-90,0.07212515906869399
58,Chinese,Female,40-90,-0.013704126715001763
59,Chinese,Female,40-90,-0.034052327341107524
60,Chinese,Female,40-90,-0.27006409613015414
61,Chinese,Female,40-90,-0.15621273049089002
62,Chinese,Female,40-90,0.11821662046439352
63,Chinese,Female,40-90,0.1486552810763171
64,Chinese,Female,40-90,0.08687049837686311
65,Chinese,Female,40-90,0.05255915136785472
66,Chinese,Female,40-90,-0.07977246315696318
67,Chinese,Female,40-90,0.027428672909084906
68,Chinese,Female,40-90,-0.045405849845687296
69,Chinese,Female,40-90,0.13769220445788033
70,Chinese,Female,40-90,0.15972994109442995
