Group,Sex,Age_Group,Metric,N_Test,N_Ref,Test_Mean,Ref_Mean,Observed_Delta,Null_Mean_Delta,Null_95_Lower,Null_95_Upper,p_value_greater,p_value_two_sided,Plot_Path
Black,Female,40-90,BAG,159,9493,1.363774017757769,0.014204262004634986,1.349569755753134,0.003968698839948851,-0.6062329724940398,0.6227694072985385,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Black/Black_Female_40-90_BAG_permutation_histogram.png
Black,Female,40-90,MAE,159,9493,3.2013975221505104,3.083662273838618,0.11773524831189253,0.0019544188924641164,-0.3605321192761762,0.3817355263697571,0.2692730726927307,0.5378462153784621,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Black/Black_Female_40-90_MAE_permutation_histogram.png
Black,Male,40-90,BAG,125,7788,2.4413456086110297,-0.00856909801617877,2.4499147066272084,0.004353845949406358,-0.7277096722586702,0.7422414468243337,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Black/Black_Male_40-90_BAG_permutation_histogram.png
Black,Male,40-90,MAE,125,7788,3.8390515673404915,3.229780626449666,0.6092709408908257,-0.0004737999228550743,-0.42592442500245914,0.45406372509018755,0.0045995400459954,0.0071992800719928,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Black/Black_Male_40-90_MAE_permutation_histogram.png
Chilean,Female,5-40,BAG,27,8505,3.44301259731997,-0.008381465306172826,3.4513940626261426,-0.005498181466366416,-0.7064892462504806,0.7284773628393884,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Chilean/Chilean_Female_5-40_BAG_permutation_histogram.png
Chilean,Female,5-40,MAE,27,8505,3.5270129568919817,1.4480463025786008,2.0789666543133807,0.0010149295717254009,-0.4049429383527437,0.4849944640637287,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Chilean/Chilean_Female_5-40_MAE_permutation_histogram.png
Chilean,Male,5-40,BAG,56,7541,2.0836188890031098,-0.003283886222118988,2.0869027752252287,0.004487753457367792,-0.489568925177703,0.5114201559175816,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Chilean/Chilean_Male_5-40_BAG_permutation_histogram.png
Chilean,Male,5-40,MAE,56,7541,3.3954650141112483,1.4961591848305265,1.899305829280722,-0.0018306695450828856,-0.29231873576607675,0.3314357184626717,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Chilean/Chilean_Male_5-40_MAE_permutation_histogram.png
Chinese,Female,40-90,BAG,324,9493,2.4327738703834156,0.014204262004634986,2.4185696083787804,-0.0036436832653449157,-0.4378051573596786,0.44086040657670883,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Chinese/Chinese_Female_40-90_BAG_permutation_histogram.png
Chinese,Female,40-90,MAE,324,9493,3.8917476565383984,3.083662273838618,0.8080853826997805,0.0013188759856368347,-0.2591504941258182,0.2732179211243828,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Chinese/Chinese_Female_40-90_MAE_permutation_histogram.png
