column,original_order_mean,sorted_by_age_mean,difference_sorted_minus_original,absolute_difference,original_nonblank,sorted_nonblank
Lthal,7184.446153846154,7135.620615384616,-48.82553846153769,48.82553846153769,325,325
Rthal,6995.502153846154,6948.814153846152,-46.68800000000192,46.68800000000192,325,325
Lput,4696.955384615385,4657.299076923076,-39.656307692308474,39.656307692308474,325,325
Rput,4709.589230769231,4675.055384615384,-34.53384615384675,34.53384615384675,325,325
Rcaud,3301.8843076923076,3277.7504615384614,-24.133846153846207,24.133846153846207,325,325
Lcaud,3290.280923076923,3267.944000000001,-22.336923076922176,22.336923076922176,325,325
Lhippo,4045.9289230769227,4028.7273846153844,-17.201538461538348,17.201538461538348,325,325
Rhippo,4207.155384615385,4191.7950769230765,-15.360307692308197,15.360307692308197,325,325
Rpal,1800.7516923076923,1794.6107692307692,-6.140923076923173,6.140923076923173,325,325
Lamyg,1534.1055384615386,1528.6298461538463,-5.47569230769227,5.47569230769227,325,325
Lpal,1847.8809230769232,1842.710153846154,-5.17076923076911,5.17076923076911,325,325
Laccumb,383.09507692307693,377.99046153846155,-5.104615384615386,5.104615384615386,325,325
Raccumb,467.7301538461538,462.79415384615385,-4.935999999999979,4.935999999999979,325,325
Ramyg,1642.58,1639.0120000000002,-3.5679999999997563,3.5679999999997563,325,325
L_transversetemporal_thickavg,2.2552799999999995,2.2552800000000004,8.881784197001252e-16,8.881784197001252e-16,325,325
R_inferiorparietal_thickavg,2.4224369230769227,2.4224369230769236,8.881784197001252e-16,8.881784197001252e-16,325,325
L_temporalpole_thickavg,3.5151138461538465,3.5151138461538456,-8.881784197001252e-16,8.881784197001252e-16,325,325
R_entorhil_thickavg,3.382707692307693,3.382707692307692,-8.881784197001252e-16,8.881784197001252e-16,325,325
L_insula_thickavg,2.854944615384616,2.8549446153846154,-4.440892098500626e-16,4.440892098500626e-16,325,325
R_posteriorcingulate_thickavg,2.381781538461538,2.3817815384615386,4.440892098500626e-16,4.440892098500626e-16,325,325
R_lateraloccipital_thickavg,2.205292307692307,2.2052923076923077,4.440892098500626e-16,4.440892098500626e-16,325,325
R_lingual_thickavg,1.9005476923076927,1.9005476923076923,-4.440892098500626e-16,4.440892098500626e-16,325,325
R_parahippocampal_thickavg,2.505667692307693,2.5056676923076924,-4.440892098500626e-16,4.440892098500626e-16,325,325
R_temporalpole_thickavg,3.6365230769230767,3.636523076923077,4.440892098500626e-16,4.440892098500626e-16,325,325
L_superiorparietal_thickavg,2.1878123076923077,2.187812307692308,4.440892098500626e-16,4.440892098500626e-16,325,325
R_superiortemporal_thickavg,2.6700953846153848,2.6700953846153843,-4.440892098500626e-16,4.440892098500626e-16,325,325
L_supramargil_thickavg,2.489243076923077,2.4892430769230764,-4.440892098500626e-16,4.440892098500626e-16,325,325
R_superiorfrontal_thickavg,2.7692184615384616,2.769218461538461,-4.440892098500626e-16,4.440892098500626e-16,325,325
L_parstriangularis_thickavg,2.385433846153846,2.3854338461538456,-4.440892098500626e-16,4.440892098500626e-16,325,325
L_parsopercularis_thickavg,2.5362553846153846,2.536255384615384,-4.440892098500626e-16,4.440892098500626e-16,325,325
L_fusiform_thickavg,2.663652307692308,2.6636523076923075,-4.440892098500626e-16,4.440892098500626e-16,325,325
L_lingual_thickavg,1.881224615384615,1.8812246153846155,4.440892098500626e-16,4.440892098500626e-16,325,325
L_rostralmiddlefrontal_thickavg,2.382156923076923,2.3821569230769226,-4.440892098500626e-16,4.440892098500626e-16,325,325
L_medialorbitofrontal_thickavg,2.410873846153846,2.4108738461538457,-4.440892098500626e-16,4.440892098500626e-16,325,325
L_parsorbitalis_thickavg,2.6351384615384617,2.635138461538461,-4.440892098500626e-16,4.440892098500626e-16,325,325
L_parahippocampal_thickavg,2.5081815384615385,2.508181538461538,-4.440892098500626e-16,4.440892098500626e-16,325,325
L_middletemporal_thickavg,2.7588369230769234,2.758836923076923,-4.440892098500626e-16,4.440892098500626e-16,325,325
R_cuneus_thickavg,1.8397538461538463,1.839753846153846,-2.220446049250313e-16,2.220446049250313e-16,325,325
