dataset_key,dataset,sex,age_group,kind,statistic,n,reference_n,iterations,random_seed,source_file,observed,reference_mean,reference_p2_5,reference_p97_5,percentile,two_sided_empirical_p,outside_95_reference_interval
self_chinese,Chinese,Female,5-40,Adjusted,mean_BAG,547,8505,10000,2005,ethnoracial_data_outputs/self_chinese/Female_5-40/output_file_2026-08-19-00-06-48_Adjusted_BrainAGE_female.csv,2.167043180506354,-0.009297074442483347,-0.15922830102568558,0.13720069133423207,100.0,0.00019998000199980003,True
self_turkish,Turkish,Female,5-40,Adjusted,mean_BAG,268,8505,10000,2005,ethnoracial_data_outputs/self_turkish/Female_5-40/output_file_2026-06-29-01-19-43_Adjusted_BrainAGE_female.csv,-0.46775167611402624,-0.006915589019808936,-0.22604532909309705,0.20912288431296644,0.0,0.00019998000199980003,True
self_chinese,Chinese,Female,40-90,Adjusted,mean_BAG,326,9493,10000,2005,ethnoracial_data_outputs/self_chinese/Female_40-90/output_file_2026-08-19-00-08-18_Adjusted_BrainAGE_female.csv,2.407634203579553,0.011645031825073638,-0.40082698091334346,0.4297941507423313,100.0,0.00019998000199980003,True
self_chinese,Chinese,Male,5-40,Adjusted,mean_BAG,418,7541,10000,2005,ethnoracial_data_outputs/self_chinese/Male_5-40/output_file_2026-08-19-00-31-35_Adjusted_BrainAGE_male.csv,0.4370334934273646,-0.0033733288525781965,-0.17754564966596886,0.169272366645335,100.0,0.00019998000199980003,True
self_turkish,Turkish,Male,5-40,Adjusted,mean_BAG,154,7541,10000,2005,ethnoracial_data_outputs/self_turkish/Male_5-40/output_file_2026-06-29-01-20-21_Adjusted_BrainAGE_male.csv,-0.24714756709446986,-0.004850676616809708,-0.2964633695737012,0.2934576923402598,5.42,0.1085891410858914,False
self_chinese,Chinese,Male,40-90,Adjusted,mean_BAG,198,7788,10000,2005,ethnoracial_data_outputs/self_chinese/Male_40-90/output_file_2026-08-19-00-04-54_Adjusted_BrainAGE_male.csv,2.29934150021436,-0.00783946684306061,-0.5601386015946972,0.5378089491161611,100.0,0.00019998000199980003,True
self_chinese,Chinese,Female,5-40,Adjusted,sd_BAG,547,8505,10000,2005,ethnoracial_data_outputs/self_chinese/Female_5-40/output_file_2026-08-19-00-06-48_Adjusted_BrainAGE_female.csv,3.0313326434804013,1.8455864490777407,1.7061379188006371,1.9946170609583551,100.0,0.00019998000199980003,True
self_turkish,Turkish,Female,5-40,Adjusted,sd_BAG,268,8505,10000,2005,ethnoracial_data_outputs/self_turkish/Female_5-40/output_file_2026-06-29-01-19-43_Adjusted_BrainAGE_female.csv,3.0078567749869385,1.8439468861318797,1.6463624026143429,2.0682851566980984,100.0,0.00019998000199980003,True
self_chinese,Chinese,Female,40-90,Adjusted,sd_BAG,326,9493,10000,2005,ethnoracial_data_outputs/self_chinese/Female_40-90/output_file_2026-08-19-00-08-18_Adjusted_BrainAGE_female.csv,4.338646858744735,3.9030904309669974,3.588391058984742,4.230487025128885,99.51,0.009999000099990002,True
self_chinese,Chinese,Male,5-40,Adjusted,sd_BAG,418,7541,10000,2005,ethnoracial_data_outputs/self_chinese/Male_5-40/output_file_2026-08-19-00-31-35_Adjusted_BrainAGE_male.csv,3.5731632800310655,1.8917858356194588,1.7278740281635991,2.084635531870835,100.0,0.00019998000199980003,True
self_turkish,Turkish,Male,5-40,Adjusted,sd_BAG,154,7541,10000,2005,ethnoracial_data_outputs/self_turkish/Male_5-40/output_file_2026-06-29-01-20-21_Adjusted_BrainAGE_male.csv,3.394069306789935,1.8888481209335404,1.628018629508356,2.219656558150618,100.0,0.00019998000199980003,True
self_chinese,Chinese,Male,40-90,Adjusted,sd_BAG,198,7788,10000,2005,ethnoracial_data_outputs/self_chinese/Male_40-90/output_file_2026-08-19-00-04-54_Adjusted_BrainAGE_male.csv,4.43671940321462,4.062824734118035,3.650734882692597,4.484438670725129,95.89999999999999,0.0821917808219178,False
